iter	Passed	Remaining
0	724	361603
1	903	225086
2	1059	175488
3	1223	151703
4	1360	134651
5	1510	124369
6	1740	122584
7	1913	117708
8	2081	113558
9	2225	109065
10	2376	105659
11	2525	102688
12	2688	100706
13	2840	98598
14	3003	97116
15	3155	95440
16	3306	93951
17	3452	92448
18	3599	91116
19	3759	90217
20	3906	89112
21	4043	87858
22	4197	87051
23	4335	85993
24	4500	85518
25	4656	84889
26	4820	84456
27	4981	83970
28	5136	83421
29	5297	82992
30	5449	82449
31	5625	82270
32	5782	81837
33	5918	81112
34	6078	80759
35	6210	80048
36	6360	79586
37	6516	79224
38	6675	78904
39	6837	78632
40	6975	78090
41	7140	77860
42	7294	77529
43	7444	77155
44	7604	76886
45	7762	76617
46	7921	76345
47	8072	76019
48	8223	75690
49	8381	75434
50	8534	75138
51	8688	74856
52	8847	74619
53	8981	74179
54	9123	73813
55	9269	73495
56	10159	78959
57	11234	85612
58	12055	90108
59	12925	94790
60	13694	98554
61	14460	102156
62	15209	105501
63	16155	110058
64	17070	114240
65	17847	117361
66	18565	119983
67	19214	122069
68	20143	125823
69	20876	128241
70	21525	130061
71	22033	130975
72	22382	130920
73	22681	130573
74	23125	131046
75	23437	130755
76	23703	130216
77	24139	130599
78	24868	132525
79	25295	132802
80	25574	132295
81	25812	131580
82	25990	130578
83	26172	129618
84	26336	128585
85	26473	127441
86	26631	126425
87	26816	125548
88	27003	124703
89	27163	123744
90	27352	122936
91	27532	122099
92	27709	121265
93	27879	120414
94	28049	119580
95	28240	118845
96	28396	117978
97	28556	117139
98	28714	116309
99	28862	115451
100	29020	114645
101	29173	113835
102	29331	113053
103	29498	112320
104	29657	111569
105	29824	110858
106	29976	110099
107	30114	109302
108	30265	108566
109	30455	107979
110	30663	107461
111	30848	106867
112	31027	106260
113	31218	105705
114	31399	105120
115	31581	104544
116	31771	104004
117	31953	103443
118	32138	102897
119	32349	102440
120	32546	101943
121	32732	101417
122	32884	100793
123	33044	100199
124	33190	99572
125	33349	98990
126	33511	98425
127	33684	97896
128	33874	97421
129	34066	96958
130	34247	96467
131	34412	95936
132	34590	95448
133	34795	95038
134	34959	94520
135	35135	94039
136	35351	93667
137	35573	93314
138	35760	92874
139	35941	92422
140	36123	91972
141	36307	91534
142	36495	91112
143	36686	90697
144	36877	90286
145	37069	89882
146	37231	89407
147	37411	88978
148	37593	88559
149	37786	88167
150	37968	87754
151	38151	87346
152	38331	86934
153	38518	86541
154	38681	86097
155	38839	85645
156	38991	85184
157	39166	84778
158	39347	84387
159	39502	83943
160	39692	83576
161	39894	83237
162	40064	82832
163	40246	82456
164	40438	82101
165	40595	81679
166	40737	81230
167	40893	80813
168	41064	80428
169	41221	80018
170	41378	79611
171	41508	79156
172	41659	78744
173	41813	78339
174	41952	77911
175	42083	77472
176	42212	77031
177	42345	76601
178	42469	76159
179	42598	75730
180	42728	75305
181	42860	74887
182	42995	74477
183	43140	74089
184	43266	73670
185	43394	73258
186	43521	72846
187	43647	72436
188	43773	72029
189	43896	71620
190	44025	71223
191	44153	70829
192	44278	70431
193	44406	70043
194	44532	69652
195	44659	69267
196	44787	68886
197	44909	68498
198	45041	68128
199	45167	67750
200	45293	67376
201	45418	67003
202	45555	66649
203	45685	66289
204	45816	65931
205	45939	65564
206	46078	65222
207	46200	64857
208	46328	64505
209	46453	64150
210	46582	63802
211	46707	63452
212	46831	63101
213	46962	62763
214	47087	62418
215	47213	62077
216	47344	61744
217	47469	61405
218	47595	61070
219	47723	60739
220	47847	60405
221	47985	60089
222	48117	59769
223	48257	59460
224	48396	59151
225	48526	58833
226	48658	58518
227	48787	58202
228	48913	57884
229	49039	57568
230	49165	57253
231	49292	56941
232	49419	56631
233	49543	56319
234	49672	56013
235	49802	55711
236	49928	55406
237	50054	55102
238	50176	54795
239	50300	54491
240	50421	54187
241	50547	53889
242	50682	53602
243	50805	53304
244	50932	53011
245	51057	52718
246	51181	52425
247	51306	52133
248	51432	51845
249	51561	51561
250	51695	51283
251	51819	50996
252	51951	50719
253	52078	50437
254	52202	50155
255	52328	49875
256	52455	49598
257	52579	49318
258	52706	49043
259	52831	48767
260	52962	48498
261	53087	48224
262	53211	47950
263	53340	47683
264	53463	47411
265	53589	47142
266	53715	46874
267	53843	46611
268	53967	46344
269	54090	46077
270	54212	45810
271	54338	45548
272	54461	45284
273	54594	45030
274	54718	44769
275	54843	44510
276	54982	44264
277	55109	44008
278	55231	43749
279	55354	43492
280	55477	43236
281	55606	42986
282	55737	42738
283	55868	42491
284	55998	42244
285	56132	42001
286	56260	41754
287	56382	41504
288	56514	41261
289	56640	41015
290	56767	40770
291	56903	40533
292	57036	40295
293	57167	40056
294	57297	39816
295	57431	39581
296	57559	39342
297	57691	39106
298	57823	38871
299	57950	38633
300	58074	38394
301	58197	38155
302	58325	37920
303	58446	37682
304	58573	37448
305	58699	37215
306	58821	36978
307	58949	36747
308	59070	36512
309	59197	36282
310	59320	36050
311	59443	35818
312	59566	35587
313	59691	35358
314	59816	35130
315	59940	34902
316	60061	34672
317	60187	34446
318	60312	34220
319	60444	34000
320	60572	33777
321	60699	33554
322	60826	33331
323	60950	33108
324	61076	32887
325	61205	32667
326	61329	32446
327	61477	32238
328	61614	32024
329	61738	31804
330	61887	31598
331	62013	31380
332	62137	31161
333	62286	30956
334	62426	30747
335	62551	30531
336	62672	30313
337	62800	30099
338	62923	29883
339	63046	29669
340	63174	29456
341	63301	29244
342	63426	29031
343	63549	28819
344	63675	28607
345	63799	28396
346	63930	28188
347	64056	27978
348	64182	27769
349	64310	27561
350	64431	27351
351	64556	27143
352	64681	26935
353	64825	26735
354	64953	26530
355	65082	26325
356	65209	26120
357	65335	25915
358	65460	25709
359	65589	25506
360	65715	25303
361	65842	25100
362	65973	24899
363	66094	24694
364	66219	24492
365	66351	24292
366	66473	24089
367	66602	23889
368	66723	23687
369	66852	23488
370	66984	23291
371	67108	23091
372	67235	22892
373	67358	22692
374	67486	22495
375	67614	22298
376	67736	22099
377	67865	21903
378	67991	21707
379	68115	21510
380	68238	21313
381	68361	21116
382	68483	20920
383	68609	20725
384	68732	20530
385	68862	20337
386	68992	20145
387	69116	19951
388	69244	19758
389	69382	19569
390	69511	19377
391	69636	19185
392	69763	18994
393	69893	18803
394	70019	18612
395	70142	18421
396	70267	18230
397	70392	18040
398	70519	17850
399	70642	17660
400	70768	17471
401	70893	17282
402	71022	17094
403	71146	16906
404	71270	16717
405	71396	16530
406	71522	16342
407	71649	16156
408	71771	15968
409	71905	15784
410	72030	15597
411	72153	15411
412	72283	15226
413	72412	15042
414	72535	14856
415	72661	14671
416	72785	14487
417	72913	14303
418	73036	14119
419	73161	13935
420	73290	13752
421	73414	13569
422	73540	13386
423	73665	13204
424	73792	13022
425	73914	12839
426	74038	12657
427	74160	12475
428	74289	12295
429	74413	12113
430	74540	11933
431	74662	11752
432	74788	11572
433	74921	11393
434	75048	11214
435	75174	11034
436	75299	10855
437	75424	10676
438	75553	10498
439	75678	10319
440	75806	10141
441	75933	9964
442	76056	9785
443	76189	9609
444	76322	9433
445	76450	9256
446	76576	9079
447	76704	8903
448	76835	8727
449	76967	8551
450	77091	8375
451	77217	8200
452	77342	8024
453	77468	7849
454	77602	7674
455	77732	7500
456	77857	7325
457	77981	7151
458	78104	6976
459	78237	6803
460	78359	6629
461	78484	6455
462	78610	6282
463	78766	6111
464	78926	5940
465	79050	5767
466	79175	5594
467	79306	5422
468	79444	5251
469	79576	5079
470	79706	4907
471	79846	4736
472	79972	4565
473	80101	4393
474	80226	4222
475	80355	4051
476	80481	3880
477	80604	3709
478	80730	3539
479	80855	3368
480	80981	3198
481	81107	3028
482	81233	2859
483	81354	2689
484	81483	2520
485	81615	2351
486	81742	2182
487	81879	2013
488	82009	1844
489	82132	1676
490	82258	1507
491	82381	1339
492	82511	1171
493	82635	1003
494	82760	835
495	82883	668
496	83010	501
497	83132	333
498	83256	166
499	83377	0
